id,name,description
item_1,The Dark Knight,A vigilante dressed as a bat battles a psychopathic criminal mastermind in Gotham City
item_2,Inception,A skilled thief steals corporate secrets through dream-sharing technology and is given a chance to erase his criminal record
item_3,Interstellar,A team of astronauts travels through a wormhole near Saturn in search of a new habitable home for humanity
item_4,The Matrix,A computer hacker discovers the true nature of reality and joins a rebellion against machines controlling human civilization
item_5,Avengers Endgame,The surviving Avengers assemble to reverse the destruction caused by Thanos and restore balance to the universe
item_6,Parasite,A poor family schemes to become employed by a wealthy family by infiltrating their household and posing as qualified workers
item_7,Whiplash,A young ambitious jazz drummer enrolls at a cutthroat music conservatory under the wing of a ruthless demanding instructor
item_8,La La Land,A jazz musician and an aspiring actress fall in love while chasing their separate dreams in Los Angeles
item_9,Mad Max Fury Road,In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search of her homeland with female prisoners
item_10,The Revenant,A frontiersman fights for survival after being mauled by a bear and left for dead by members of his own hunting team
item_11,Get Out,A young African American man visits his white girlfriends parents estate where he uncovers a disturbing secret
item_12,Hereditary,After the family matriarch passes away a grieving family is haunted by tragic disturbing occurrences tied to dark secrets
item_13,Blade Runner 2049,A young blade runner discovers a long-buried secret leading him to track down former blade runner Rick Deckard
item_14,Arrival,A linguist is recruited by the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world
item_15,1917,Two British soldiers are sent on a seemingly impossible mission behind enemy lines to deliver a message that could save 1600 men
item_16,Dunkirk,The evacuation of Allied soldiers surrounded by the German army on the beaches of Dunkirk during World War II
item_17,Joker,A failed comedian disregarded and mistreated by society slowly descends into madness and becomes an iconic villain
item_18,Tenet,A secret agent embarks on a dangerous international mission armed with only one word and fighting for the survival of the world through time inversion
item_19,The Grand Budapest Hotel,The adventures of a legendary concierge at a famous European hotel between the wars and his loyal lobby boy
item_20,Spirited Away,A young girl wanders into a world ruled by gods witches and spirits where humans are changed into beasts
item_21,Your Name,Two teenagers share a profound connection after discovering they are magically swapping bodies across time
item_22,Princess Mononoke,A prince becomes embroiled in a struggle between the gods of a forest and the humans who consume its resources
item_23,Akira,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic superpower
item_24,Ghost in the Shell,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master
item_25,Oldboy,After being imprisoned for 15 years a man is inexplicably released and given five days to find his captor
item_26,Train to Busan,While a zombie virus breaks out in South Korea passengers struggle to survive on a train journey
item_27,A Quiet Place,In a post-apocalyptic world a family struggles to survive while hiding from creatures that hunt purely by sound
item_28,Bird Box,A mother and her children blindfolded navigate a river to find a community of survivors hiding from mysterious entities
item_29,Us,A family vacationing at their beach house discover a group of doppelgangers who begin to terrorize them
item_30,Doctor Strange,A former neurosurgeon embarks on a journey of healing only to be drawn into the world of the mystic arts
item_31,Thor Ragnarok,Imprisoned on the planet Sakaar Thor must race against time to return to Asgard and stop the apocalyptic Ragnarok
item_32,Black Panther,King T Challa returns home to the nation of Wakanda to take his rightful place as king but finds his sovereignty challenged
item_33,Spider-Man Into the Spider-Verse,Teen Miles Morales becomes Spider-Man of his universe and must stop a threat endangering multiple parallel dimensions
item_34,Knives Out,A detective investigates the death of the patriarch of an eccentric and wealthy dysfunctional family
item_35,The Irishman,An aging hitman recalls his time with the mob and involvement in the mysterious disappearance of Jimmy Hoffa
item_36,Once Upon a Time in Hollywood,A faded television actor and his stunt double embark on an odyssey to make a name for themselves during the Manson Family era
item_37,Portrait of a Lady on Fire,In 18th century France a female painter is hired to paint a wedding portrait of a young woman who becomes her secret lover
item_38,Moonlight,A young man struggles to find his place in the world while growing up in a rough neighborhood of Miami
item_39,Manchester by the Sea,A depressed uncle is asked to take care of his teenage nephew after the boys father dies unexpectedly
item_40,Coco,A young boy in Mexico who aspires to be a musician travels to the Land of the Dead to find his great-great-grandfather
item_41,Soul,A jazz musician falls into the Soul World where he meets a new soul learning about herself before going to Earth
item_42,Ratatouille,A rat who can cook makes an unlikely alliance with a young kitchen worker at a famous Paris restaurant
item_43,Wall-E,In the distant future a small waste-collecting robot falls in love with another robot and follows her into outer space
item_44,Up,An elderly widower and a young stowaway use thousands of balloons to fly their house to a paradise waterfall in South America
item_45,Inside Out,When an eleven year old girl moves to a new city her Emotions struggle to guide her through the difficult transition
item_46,Toy Story,A cowboy doll is profoundly threatened when a new spaceman figure supersedes him as top toy in a boys bedroom
item_47,Finding Nemo,After his son is taken by a diver a timid clownfish sets out on a dangerous ocean journey to find him
item_48,The Lion King,Lion prince Simba and his father are targeted by his uncle who wants to ascend the throne of the Pride Lands
item_49,Shrek,A grumpy ogre must go on a quest and rescue a princess for a mean lord who has exiled fairytale creatures to his swamp
item_50,Spirited Away,A young girl becomes trapped in a mysterious spirit world and must work in a bathhouse to rescue her transformed parents
